0.22.1	id=lfsi_emp_a_h
0.22.1	id=lfsi_educ_a_h
0.22.1	id=demo_pjan
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "F", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "M", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-24", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y25-54", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y55-64", "EMP_LFS")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED0-2")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED3_4")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED5-8")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "F", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "M", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-24", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y25-54", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y55-64", "EMP_LFS")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED0-2")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED3_4")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED5-8")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=lfsi_emp_a_h
0.22.1	id=lfsi_educ_a_h
0.22.1	id=demo_pjan
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "F", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "M", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-24", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y25-54", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y55-64", "EMP_LFS")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED0-2")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED3_4")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED5-8")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.20.6	id=prc_hicp_midx
0.20.6	id=prc_hicp_midx	label=TRUE
0.20.6	id=prc_hicp_manr
0.20.6	id=prc_hicp_manr	label=TRUE
0.20.6	id=prc_hicp_mmor
0.20.6	id=prc_hicp_mmor	label=TRUE
0.20.6	id=prc_hicp_inw
0.20.6	id=prc_hicp_inw	label=TRUE
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "F", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "M", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-24", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y25-54", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y55-64", "EMP_LFS")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED0-2")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED3_4")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "ED5-8")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=earn_ses18_30	filters=c("ERN", "TOTAL", "T", "TOTAL", "EUR")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=earn_ses18_30	filters=c("ERN", "TOTAL", "T", "TOTAL", "EUR")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=nama_10_gdp	filters=c("PD15_EUR", "B1GQ", "")
